name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
Brazier of Commanding Fire Elementals,brazier-of-commanding-fire-elementals,XDMG,241,Wondrous Item,WON,rare,,0,,1,,,0,"[""While you are within 5 feet of this brazier, you can take a {@action Magic|XPHB} action to summon a {@creature Fire Elemental|XMM}. The elemental appears in an unoccupied space as close to the brazier as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a {@variantrule Bonus Action|XPHB}. The brazier can't be used this way again until the next dawn.""]",1
Bread (loaf),bread-loaf,XPHB,231,Food and Drink,FD,none,,0,,0,,0.02,0,[],1
Bronze Dragon Scale Mail,bronze-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Brooch of Shielding,brooch-of-shielding,XDMG,241,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""While wearing this brooch, you have {@variantrule Resistance|XPHB} to Force damage, and you have {@variantrule Immunity|XPHB} to damage from the {@spell Magic Missile|XPHB} spell.""]",1
Broom of Flying,broom-of-flying,XDMG,241,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""This wooden broom functions like a mundane broom until you stand astride it and take a {@action Magic|XPHB} action to make it hover beneath you, at which time it can be ridden in the air. It has a {@variantrule Fly Speed|XPHB} of 50 feet. It can carry up to 400 pounds, but its {@variantrule Fly Speed|XPHB} becomes 30 feet while carrying over 200 pounds. The broom stops hovering when you land or when you're no longer riding it."", ""As a {@action Magic|XPHB} action, you can send the broom to travel alone to a destination within 1 mile of you if you name the location and are familiar with it. The broom comes back to you when you take a {@action Magic|XPHB} action and use a command word if the broom is still within 1 mile of you.""]",1
Bucket,bucket,XPHB,224,Adventuring Gear,G,none,,0,,0,2,0.05,0,"[""A Bucket holds up to half a cubic foot of contents.""]",1
Bullseye Lantern,bullseye-lantern,XPHB,226,Adventuring Gear,G,none,,0,,0,2,10.0,0,"[""A Bullseye Lantern burns Oil as fuel to cast {@variantrule Bright Light|XPHB} in a 60-foot Cone and {@variantrule Dim Light|XPHB} for an additional 60 feet.""]",1
Burglar's Pack,burglar-s-pack,XPHB,224,Adventuring Gear,G,none,,0,,0,47.5,16.0,0,"[""A Burglar's Pack contains the following items: {@item Backpack|XPHB}, {@item Ball Bearings|XPHB}, {@item Bell|XPHB}, 10 {@item Candle|XPHB|Candles}, {@item Crowbar|XPHB}, {@item Hooded Lantern|XPHB}, 7 flasks of {@item Oil|XPHB}, 5 days of {@item Rations|XPHB}, {@item Rope|XPHB}, {@item Tinderbox|XPHB}, and {@item Waterskin|XPHB}.""]",1
Burnt Othur Fumes,burnt-othur-fumes,XDMG,90,Adventuring Gear,G,none,,0,,0,,500.0,0,"[""A creature subjected to Burnt Othur Fumes must succeed on a {@dc 13} Constitution saving throw or take 10 ({@damage 3d6}) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 ({@damage 1d6}) Poison damage. After three successful saves, the poison ends.""]",1
Caltrops,caltrops,XPHB,224,Adventuring Gear,G,none,,0,,0,2,1.0,0,"[""As a {@action Utilize|XPHB} action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a {@dc 15} Dexterity saving throw or take 1 Piercing damage and have its {@variantrule Speed|XPHB} reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops.""]",1
Camel,camel,XPHB,229,Mount,MNT,none,,0,,0,,50.0,0,[],1
Candle,candle,XPHB,224,Adventuring Gear,G,none,,0,,0,,0.01,0,"[""For 1 hour, a lit Candle sheds {@variantrule Bright Light|XPHB} in a 5-foot radius and {@variantrule Dim Light|XPHB} for an additional 5 feet.""]",1
Candle of Invocation,candle-of-invocation,XDMG,241,Wondrous Item,WON,very rare,,1,,1,,,1,"[""This candle's magic is activated when the candle is lit, which requires a {@action Magic|XPHB} action. After burning for 4 hours, the candle is destroyed. You can snuff it out early for use at a later time. Deduct the time it burned in increments of 1 minute from its total burn time."", ""While lit, the candle sheds {@variantrule Dim Light|XPHB} in a 30-foot radius. While you are within that light, you have {@variantrule Advantage|XPHB} on {@variantrule D20 Test|XPHB|D20 Tests}. In addition, a Cleric or Druid in the light can cast level 1 spells they have prepared without expending spell slots."", ""Alternatively, when you light the candle for the first time, you can cast {@spell Gate|XPHB} with it. Doing so destroys the candle. The portal created by the spell links to a particular Outer Plane chosen by the DM or determined by rolling on the following table."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Outer Plane""], ""rows"": [[""01-05"", ""{@book Abyss|XDMG|5|Abyss}""], [""06-10"", ""{@book Acheron|XDMG|5|Acheron}""], [""11-17"", ""{@book Arborea|XDMG|5|Arborea}""], [""18-25"", ""{@book Arcadia|XDMG|5|Arcadia}""], [""26-33"", ""{@book Beastlands|XDMG|5|Beastlands}""], [""34-41"", ""{@book Bytopia|XDMG|5|Bytopia}""], [""42-46"", ""{@book Carceri|XDMG|5|Carceri}""], [""47-54"", ""{@book Elysium|XDMG|5|Elysium}""], [""55-59"", ""{@book Gehenna|XDMG|5|Gehenna}""], [""60-64"", ""{@book Hades|XDMG|5|Hades}""], [""65-69"", ""{@book Limbo|XDMG|5|Limbo}""], [""70-77"", ""{@book Mechanus|XDMG|5|Mechanus}""], [""78-85"", ""{@book Mount Celestia|XDMG|5|Mount Celestia}""], [""86-90"", ""{@book Nine Hells|XDMG|5|Nine Hells}""], [""91-95"", ""{@book Pandemonium|XDMG|5|Pandemonium}""], [""96-00"", ""{@book Ysgard|XDMG|5|Ysgard}""]]}]",1
Canvas (1 sq. yd.),canvas-1-sq-yd,XDMG,213,Trade Good,TG,none,,0,,0,,0.1,0,[],1
Cape of the Mountebank,cape-of-the-mountebank,XDMG,242,Wondrous Item,WON,rare,,0,,1,,,1,"[""This cape smells faintly of brimstone. While wearing it, you can use it to cast {@spell Dimension Door|XPHB} as a {@action Magic|XPHB} action. This property can't be used again until the next dawn."", ""When you teleport with that spell, you leave behind a cloud of smoke. The space you left is {@variantrule Lightly Obscured|XPHB} by that smoke until the end of your next turn.""]",1
"Carpet of Flying, 3 ft. × 5 ft.",carpet-of-flying-3-ft-5-ft,XDMG,242,Wondrous Item,WON,very rare,,0,,1,,,0,"[""You can make this carpet hover and fly by taking a {@action Magic|XPHB} action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it."", ""A 3 ft. \u00d7 5 ft. carpet can carry up to 200 lb. at a fly speed of 80 feet. A carpet can carry up to twice the weight shown on the table, but its {@variantrule Fly Speed|XPHB} is halved if it carries more than its normal capacity.""]",1
"Carpet of Flying, 4 ft. × 6 ft.",carpet-of-flying-4-ft-6-ft,XDMG,242,Wondrous Item,WON,very rare,,0,,1,,,0,"[""You can make this carpet hover and fly by taking a {@action Magic|XPHB} action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it."", ""A 4 ft. \u00d7 6 ft. carpet can carry up to 400 lb. at a fly speed of 60 feet. A carpet can carry up to twice the weight shown on the table, but its {@variantrule Fly Speed|XPHB} is halved if it carries more than its normal capacity.""]",1
"Carpet of Flying, 5 ft. × 7 ft.",carpet-of-flying-5-ft-7-ft,XDMG,242,Wondrous Item,WON,very rare,,0,,1,,,0,"[""You can make this carpet hover and fly by taking a {@action Magic|XPHB} action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it."", ""A 5 ft. \u00d7 7 ft. carpet can carry up to 600 lb. at a fly speed of 40 feet. A carpet can carry up to twice the weight shown on the table, but its {@variantrule Fly Speed|XPHB} is halved if it carries more than its normal capacity.""]",1
"Carpet of Flying, 6 ft. × 9 ft.",carpet-of-flying-6-ft-9-ft,XDMG,242,Wondrous Item,WON,very rare,,0,,1,,,0,"[""You can make this carpet hover and fly by taking a {@action Magic|XPHB} action and using the carpet's command word. It moves according to your directions if you are within 30 feet of it."", ""A 6 ft. \u00d7 9 ft. carpet can carry up to 800 lb. at a fly speed of 30 feet. A carpet can carry up to twice the weight shown on the table, but its {@variantrule Fly Speed|XPHB} is halved if it carries more than its normal capacity.""]",1
Carriage,carriage,XPHB,230,Vehicle (Land),VEH,none,,0,,0,600,100.0,0,[],1
Carrion Crawler Mucus,carrion-crawler-mucus,XDMG,90,Adventuring Gear,G,none,,0,,0,,200.0,0,"[""A creature subjected to Carrion Crawler Mucus must succeed on a {@dc 13} Constitution saving throw or have the {@condition Poisoned|XPHB} condition for 1 minute. The creature also has the {@condition Paralyzed|XPHB} condition while {@condition Poisoned|XPHB} in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success.""]",1
Cart,cart,XPHB,230,Vehicle (Land),VEH,none,,0,,0,200,15.0,0,[],1
Censer of Controlling Air Elementals,censer-of-controlling-air-elementals,XDMG,243,Wondrous Item,WON,rare,,0,,1,,,0,"[""While gently swinging this censer, you can take a {@action Magic|XPHB} action to summon an {@creature Air Elemental|XMM}. The elemental appears in an unoccupied space as close to the censer as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a {@variantrule Bonus Action|XPHB}. The censer can't be used this way again until the next dawn.""]",1
Chain,chain,XPHB,224,Adventuring Gear,G,none,,0,,0,10,5.0,0,"[""As a {@action Utilize|XPHB} action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the {@condition Grappled|XPHB}, {@condition Incapacitated|XPHB}, or {@condition Restrained|XPHB} condition if you succeed on a {@dc 13} Strength ({@skill Athletics|XPHB}) check. If the creature's legs are bound, the creature has the {@condition Restrained|XPHB} condition until it escapes. Escaping the Chain requires the creature to make a successful {@dc 18} Dexterity ({@skill Acrobatics|XPHB}) check as an action. Bursting the Chain requires a successful {@dc 20} Strength ({@skill Athletics|XPHB}) check as an action.""]",1
Chariot,chariot,XPHB,230,Vehicle (Land),VEH,none,,0,,0,100,250.0,0,[],1
Cheese (wedge),cheese-wedge,XPHB,231,Food and Drink,FD,none,,0,,0,,0.1,0,[],1
Chest,chest,XPHB,225,Adventuring Gear,G,none,,0,,0,25,5.0,0,"[""A Chest holds up to 12 cubic feet of contents.""]",1
Chicken,chicken,XDMG,213,Trade Good,TG,none,,0,,0,,0.02,0,[],1
Chime of Opening,chime-of-opening,XDMG,244,Wondrous Item,WON,rare,,0,,1,1,,1,"[""This hollow metal tube measures about 1 foot long and weighs 1 pound. As a {@action Magic|XPHB} action, you can strike the chime to cast {@spell Knock|XPHB}. The spell's customary knocking sound is replaced by the clear, ringing tone of the chime, which is audible out to 300 feet. The chime can be used 10 times. After the tenth time, it cracks and becomes useless.""]",1
Cinnamon,cinnamon,XDMG,213,Trade Good,TG,none,,0,,0,1,2.0,0,[],1
Circlet of Blasting,circlet-of-blasting,XDMG,244,Wondrous Item,WON,uncommon,,0,,1,,,1,"[""While wearing this circlet, you can cast {@spell Scorching Ray|XPHB} with it ({@hit 5} to hit). The circlet can't cast this spell again until the next dawn.""]",1
Climber's Kit,climber-s-kit,XPHB,225,Adventuring Gear,G,none,,0,,0,12,25.0,0,"[""A Climber's Kit includes boot tips, gloves, pitons, and a harness. As a {@action Utilize|XPHB} action, you can use the Climber's Kit to anchor yourself; when you do, you can't fall more than 25 feet from the anchor point, and you can't move more than 25 feet from there without undoing the anchor as a {@variantrule Bonus Action|XPHB}.""]",1
Cloak of Arachnida,cloak-of-arachnida,XDMG,244,Wondrous Item,WON,very rare,,1,,1,,,1,"[""This fine garment is made of black silk interwoven with faint, silvery threads. While wearing it, you gain the following benefits."", {""type"": ""entries"", ""name"": ""Poison Resistance"", ""entries"": [""You have {@variantrule Resistance|XPHB} to Poison damage.""]}, {""type"": ""entries"", ""name"": ""Spider Climb"", ""entries"": [""You have a {@variantrule Climb Speed|XPHB} equal to your {@variantrule Speed|XPHB} and can move up, down, and across vertical surfaces and along ceilings, while leaving your hands free.""]}, {""type"": ""entries"", ""name"": ""Spider Walk"", ""entries"": [""You can't be caught in webs of any sort and can move through webs as if they were {@variantrule Difficult Terrain|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Web"", ""entries"": [""You can cast {@spell Web|XPHB} (save {@dc 13}). The web created by the spell fills twice its normal area. Once used, this property can't be used again until the next dawn.""]}]",1
Cloak of Displacement,cloak-of-displacement,XDMG,244,Wondrous Item,WON,rare,,1,,1,,,0,"[""While you wear this cloak, it magically projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have {@variantrule Disadvantage|XPHB} on attack rolls against you. If you take damage, the property ceases to function until the start of your next turn. This property is suppressed while your {@variantrule Speed|XPHB} is 0.""]",1
